OBJECTID,admin2Name_en,admin2Name_ka,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ka,admin2AltName2_ka,admin1Name_en,admin1Name_ka,admin1Pcode,admin0Name_en,admin0Name_ka,admin0Pcode,date,validOn,validTo
1,Abasha,აბაშის,GE3823,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
2,Adigeni,ადიგენის,GE4123,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
3,Akhalkalaki,ახალქალაქის,GE4127,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
4,Akhaltsikhe,ახალციხის,GE4129,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
5,Akhaltsikhe City,ქ. ახალციხე,GE4111,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
6,Akhmeta,ახმეტის,GE2924,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
7,Ambrolauri,ამბროლაურის,GE3523,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
8,Ambrolauri City,ქ. ამბროლაური,GE3511,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
9,Aspindza,ასპინძის,GE4125,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
10,Baghdati,ბაღდათის,GE2623,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
11,Batumi,ქ. ბათუმი,GE1511,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
12,Bolnisi,ბოლნისის,GE4424,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
13,Borjomi,ბორჯომის,GE4131,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
14,Chiatura,ჭიათურის,GE2640,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
15,Chkhorotsku,ჩხოროწყუს,GE3834,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
16,Chokhatauri,ჩოხატაურის,GE2327,NA,NA,NA,NA,NA,Guria,გურია,GE23,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
17,Dedoplistskaro,დედოფლისწყაროს,GE2928,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
18,Dmanisi,დმანისის,GE4428,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
19,Dusheti,დუშეთის მუნიციპალიტეტი,GE3225,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
20,Gardabani,გარდაბნის,GE4426,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
21,Gori,გორის,GE4724,NA,NA,NA,NA,NA,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
22,Gori City,ქ. გორი,GE4711,NA,NA,NA,NA,NA,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
23,Gurjaani,გურჯაანის,GE2926,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
24,Kareli,ქარელის,GE4728,NA,NA,NA,NA,NA,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
25,Kaspi,კასპის,GE4726,NA,NA,NA,NA,NA,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
26,Kazbegi,ყაზბეგის,GE3231,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
27,Keda,ქედის,GE1523,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
28,Kharagauli,ხარაგაულის,GE2642,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
29,Khashuri,ხაშურის,GE4731,NA,NA,NA,NA,NA,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
30,Khelvachauri,ხელვაჩაურის,GE1532,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
31,Khobi,ხობის,GE3838,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
32,Khoni,ხონის,GE2644,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
33,Khulo,სულოს,GE1535,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
34,Kobuleti,ქობულეთის,GE1525,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
35,Kutaisi,ქ. ქუთაისი,GE2611,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
36,Kvareli,ყვარლის,GE2938,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
37,Lagodekhi,ლაგოდეხის,GE2932,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
38,Lanchkhuti,ლანჩხუთის,GE2323,NA,NA,NA,NA,NA,Guria,გურია,GE23,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
39,Lentekhi,ლენტეხის,GE3526,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
40,Marneuli,მარნეულის,GE4432,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
41,Martvili,მარტვილის,GE3828,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
42,Mestia,მესტიის,GE3830,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
43,Mtskheta,მცხეთის,GE3229,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
44,Mtskheta City,ქ. მცხეთა,GE3211,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
45,Ninotsminda,ნინოწმინდის,GE4133,NA,NA,NA,NA,NA,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
46,Oni,ონის,GE3529,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
47,Ozurgeti,ოზურგეთის,GE2325,NA,NA,NA,NA,NA,Guria,გურია,GE23,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
48,Ozurgeti City,ქ. ოზურგეთი,GE2311,NA,NA,NA,NA,NA,Guria,გურია,GE23,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
49,Poti,ქ. ფოთი,GE3814,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
50,Rustavi,ქ. რუსთავი,GE4411,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
51,Sachkhere,საჩხერის,GE2635,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
52,Sagarejo,საგარეჯოს,GE2934,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
53,Samtredia,სამტრედიის,GE2633,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
54,Senaki,სენაკის,GE3832,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
55,Shuakhevi,შუახევის,GE1529,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
56,Sighnaghi,სიღნაღის,GE2936,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
57,Telavi,თელავის,GE2930,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
58,Telavi City,ქ. თელავი,GE2911,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
59,Terjola,თერჯოლის,GE2631,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
60,Tetritskaro,თეთრიწყაროს,GE4430,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
61,Tianeti,თიანეთის მუნიციპალიტეტი,GE3227,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
62,Tkibuli,ტყიბულის,GE2636,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
63,Tsageri,ცაგერის,GE3531,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
64,Tsalenjikha,წალენჯიხის,GE3836,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
65,Tsalka,წალკის,GE4434,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
66,Tskaltubo,წყალტუბოს,GE2638,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
67,Vani,ვანის,GE2627,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
68,Zestaponi,ზესტაფონის,GE2629,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
69,Zugdidi,ზუგდიდის,GE3825,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
70,Zugdidi City,ქ. ზუგდიდი,GE3811,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
