OBJECTID,admin3Name_pt,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin2Name_pt,admin2Pcode,admin1Name_pt,admin1Pcode,admin0Name_en,admin0Name_pt,admin0Pcode,date,validOn,validTo
1,7 De Abril,MZ070901,NA,NA,NA,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
2,Alto Changane,MZ020201,NA,NA,NA,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
3,Alto Ligonha,MZ110501,NA,NA,NA,Gile,MZ1105,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
4,Alto Molocue,MZ110101,NA,NA,NA,Alto Molocue,MZ1101,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
5,Alua,MZ070301,NA,NA,NA,Erati,MZ0703,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
6,Amatongas,MZ040301,NA,NA,NA,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
7,Anchilo,MZ072201,NA,NA,NA,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
8,Ancuabe,MZ010101,NA,NA,NA,Ancuabe,MZ0101,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
9,Angoche,MZ070101,NA,NA,NA,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
10,Aube,MZ070102,NA,NA,NA,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
11,Bajone,MZ111501,NA,NA,NA,Mocubela,MZ1115,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
12,Balama,MZ010201,NA,NA,NA,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
13,Bazaruto,MZ030601,NA,NA,NA,Inhassoro,MZ0306,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
14,Bazua,MZ041101,NA,NA,NA,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
15,Bela Vista,MZ050601,NA,NA,NA,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
16,Bilibiza,MZ011801,NA,NA,NA,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
17,Boane,MZ050101,NA,NA,NA,Boane,MZ0501,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
18,Boila,MZ070103,NA,NA,NA,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
19,Buzi,MZ090101,NA,NA,NA,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
20,Cafumpe,MZ040302,NA,NA,NA,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
21,Caia,MZ090201,NA,NA,NA,Caia,MZ0902,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
22,Calanga,MZ050401,NA,NA,NA,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
23,Calipo,MZ071301,NA,NA,NA,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
24,Campo,MZ111701,NA,NA,NA,Mopeia,MZ1117,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
25,Caniçado,MZ020801,Canicado,NA,NA,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
26,Canxixe,MZ091001,NA,NA,NA,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
27,Catandica,MZ040101,NA,NA,NA,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
28,Catuane,MZ050602,NA,NA,NA,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
29,Chai,MZ010601,NA,NA,NA,Macomia,MZ0106,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
30,Chaimite,MZ020202,NA,NA,NA,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
31,Chalaua,MZ071401,NA,NA,NA,Moma,MZ0714,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
32,Changalane,MZ050801,NA,NA,NA,Namaacha,MZ0508,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
33,Changanine,MZ020203,NA,NA,NA,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
34,Chapa,MZ011201,NA,NA,NA,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
35,Charre,MZ101301,NA,NA,NA,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
36,Chemba,MZ090301,NA,NA,NA,Chemba,MZ0903,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
37,Chibabava,MZ090501,NA,NA,NA,Chibabava,MZ0905,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
38,Chibonzane,MZ021101,NA,NA,NA,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
39,Chibuto,MZ020204,NA,NA,NA,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
40,Chicomo,MZ030901,NA,NA,NA,Massinga,MZ0309,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
41,Chiconono,MZ081601,NA,NA,NA,Muembe,MZ0816,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
42,Chicumbane,MZ020901,NA,NA,NA,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
43,Chidenguele,MZ021102,NA,NA,NA,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
44,Chidzolomondo,MZ100801,NA,NA,NA,Macanga,MZ1008,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
45,Chifunde,MZ100401,NA,NA,NA,Chifunde,MZ1004,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
46,Chigubo,MZ020401,NA,NA,NA,Chigubo,MZ0204,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
47,Chihulo,MZ070801,NA,NA,NA,Malema,MZ0708,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
48,Chimbonila,MZ080101,NA,NA,NA,Chimbonila,MZ0801,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
49,Chinde,MZ110201,NA,NA,NA,Chinde,MZ1102,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
50,Chinga,MZ071801,NA,NA,NA,Murrupula,MZ0718,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
51,Chintholo,MZ100201,NA,NA,NA,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
52,Chinthopo,MZ100901,NA,NA,NA,Magoe,MZ1009,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
53,Chipembere,MZ100301,NA,NA,NA,Changara,MZ1003,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
54,Chipene,MZ071101,NA,NA,NA,Memba,MZ0711,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
55,Chipera,MZ101101,NA,NA,NA,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
56,Chiputu,MZ101102,NA,NA,NA,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
57,Chiramba,MZ090302,NA,NA,NA,Chemba,MZ0903,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
58,Chire,MZ111801,NA,NA,NA,Morrumbala,MZ1118,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
59,Chissano,MZ020902,NA,NA,NA,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
60,Chitima,MZ100202,NA,NA,NA,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
61,Chitobe,MZ040601,NA,NA,NA,Machaze,MZ0406,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
62,Chitunda,MZ011301,NA,NA,NA,Muidumbe,MZ0113,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
63,Chiurairue,MZ040901,NA,NA,NA,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
64,Chiure,MZ010301,NA,NA,NA,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
65,Chiure Velho,MZ010302,NA,NA,NA,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
66,Chiuta,MZ081301,NA,NA,NA,Mecanhelas,MZ0813,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
67,Chivongoene,MZ020802,NA,NA,NA,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
68,Choa,MZ040102,NA,NA,NA,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
69,Chokwe,MZ020501,NA,NA,NA,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
70,Chongoene,MZ020601,NA,NA,NA,Chongoene,MZ0206,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
71,Chupanga,MZ091101,NA,NA,NA,Marromeu,MZ0911,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
72,Cidade Da Beira,MZ090601,NA,NA,NA,Cidade Da Beira,MZ0906,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
73,Cidade Da Matola,MZ050201,NA,NA,NA,Cidade Da Matola,MZ0502,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
74,Cidade De Chimoio,MZ040201,NA,NA,NA,Cidade De Chimoio,MZ0402,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
75,Cidade De Inhambane,MZ030101,NA,NA,NA,Cidade De Inhambane,MZ0301,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
76,Cidade De Lichinga,MZ080201,NA,NA,NA,Cidade De Lichinga,MZ0802,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
77,Cidade De Maputo,MZ060101,NA,NA,NA,Cidade De Maputo,MZ0601,Maputo City,MZ06,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
78,Cidade De Nampula,MZ070201,NA,NA,NA,Cidade De Nampula,MZ0702,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
79,Cidade De Pemba,MZ010401,NA,NA,NA,Cidade De Pemba,MZ0104,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
80,Cidade De Quelimane,MZ110301,NA,NA,NA,Cidade De Quelimane,MZ1103,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
81,Cidade De Tete,MZ100601,NA,NA,NA,Cidade De Tete,MZ1006,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
82,Cidade De Xai-Xai,MZ020701,NA,NA,NA,Cidade De Xai-Xai,MZ0207,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
83,Cobue,MZ080601,NA,NA,NA,Lago,MZ0806,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
84,Combomune,MZ021001,NA,NA,NA,Mabalane,MZ0210,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
85,Corrane,MZ070902,NA,NA,NA,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
86,Covo,MZ072001,NA,NA,NA,Nacala-A-Velha,MZ0720,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
87,Cuamba,MZ080301,NA,NA,NA,Cuamba,MZ0803,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
88,Cumbana,MZ030701,NA,NA,NA,Jangamo,MZ0307,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
89,Cunle,MZ072301,NA,NA,NA,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
90,Dacata,MZ040902,NA,NA,NA,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
91,Derre,MZ110401,NA,NA,NA,Derre,MZ1104,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
92,Diaca,MZ011001,NA,NA,NA,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
93,Dindiza,MZ020402,NA,NA,NA,Chigubo,MZ0204,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
94,Divinhe,MZ090901,NA,NA,NA,Machanga,MZ0909,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
95,Doa,MZ100701,NA,NA,NA,Doa,MZ1007,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
96,Dombe,MZ041001,NA,NA,NA,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
97,Domue,MZ100101,NA,NA,NA,Angonia,MZ1001,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
98,Dondo,MZ090701,NA,NA,NA,Dondo,MZ0907,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
99,Espungabera,MZ040903,NA,NA,NA,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
100,Estaquinha,MZ090102,NA,NA,NA,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
101,Etarara,MZ080302,NA,NA,NA,Cuamba,MZ0803,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
102,Fingoe,MZ101103,NA,NA,NA,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
103,Funhalouro,MZ030201,NA,NA,NA,Funhalouro,MZ0302,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
104,Furancungo,MZ100802,NA,NA,NA,Macanga,MZ1008,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
105,Galinha,MZ091201,NA,NA,NA,Muanza,MZ0912,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
106,Gile,MZ110502,NA,NA,NA,Gile,MZ1105,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
107,Godide,MZ020205,NA,NA,NA,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
108,Gondola,MZ040303,NA,NA,NA,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
109,Gonhane,MZ110801,NA,NA,NA,Inhassunge,MZ1108,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
110,Goonda,MZ090502,NA,NA,NA,Chibabava,MZ0905,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
111,Gorongosa,MZ090801,NA,NA,NA,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
112,Guro,MZ040401,NA,NA,NA,Guro,MZ0404,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
113,Gurue,MZ110601,NA,NA,NA,Gurue,MZ1106,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
114,Homoine,MZ030401,NA,NA,NA,Homoine,MZ0304,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
115,Hucula,MZ011401,NA,NA,NA,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
116,Iapala,MZ072302,NA,NA,NA,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
117,Ibo,MZ010501,NA,NA,NA,Ibo,MZ0105,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
118,Ile,MZ110701,NA,NA,NA,Ile,MZ1107,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
119,Ilha De Moçambique,MZ070401,Ilha De Mocambique,NA,NA,Ilha De Moçambique,MZ0704,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
120,Ilha Josina Machel,MZ050402,NA,NA,NA,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
121,Ilha Licom,MZ080401,NA,NA,NA,Ilha Licom,MZ0804,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
122,Ilha Risunodo,MZ080501,NA,NA,NA,Ilha Risunodo,MZ0805,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
123,Imala,MZ071701,NA,NA,NA,Muecate,MZ0717,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
124,Imbuo,MZ011202,NA,NA,NA,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
125,Impiri,MZ010202,NA,NA,NA,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
126,Inchope,MZ040304,NA,NA,NA,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
127,Inhaminga,MZ090401,NA,NA,NA,Cheringoma,MZ0904,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
128,Inhamitanga,MZ090402,NA,NA,NA,Cheringoma,MZ0904,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
129,Inhangoma,MZ101302,NA,NA,NA,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
130,Inharrime,MZ030501,NA,NA,NA,Inharrime,MZ0305,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
131,Inhassoro,MZ030602,NA,NA,NA,Inhassoro,MZ0306,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
132,Inhassunge,MZ110802,NA,NA,NA,Inhassunge,MZ1108,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
133,Insaca,MZ081302,NA,NA,NA,Mecanhelas,MZ0813,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
134,Intete,MZ072101,NA,NA,NA,Nacaroa,MZ0721,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
135,Itepela,MZ081701,NA,NA,NA,Ngauma,MZ0817,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
